time,edge_id,vehicle_count
20.0,-300077497#5,2
20.0,-35274074#2,1
20.0,-49073264#1,1
20.0,-593849724,1
20.0,1068234498#0,1
20.0,182334379#0,1
20.0,182336887#2,1
20.0,196961215#2,1
20.0,261898534,1
20.0,263217604#0,1
20.0,268564473#0,1
20.0,303647015#0,1
20.0,314800955,1
20.0,353392316#0,2
20.0,360851262#0,5
20.0,48794887#0,1
20.0,49073272#0,1
20.0,49695733#2,1
20.0,49695736#0,2
20.0,506322841#1,1
20.0,506322844#0,3
20.0,506322846#0,1
20.0,506322851#0,5
20.0,51289045#3,1
20.0,51362429#0,1
20.0,593842812#2,1
20.0,593847701,1
20.0,593847704#0,4
20.0,593849711#0,1
20.0,593852346,3
20.0,668037874,3
20.0,910567294,1
20.0,:622618112_2,1
20.0,:622618230_3,1
40.0,-300077497#5,2
40.0,-35274074#2,2
40.0,-593847703#3,1
40.0,1068234498#0,1
40.0,182334378#0,1
40.0,182336887#2,1
40.0,196961215#2,1
40.0,198001764#0,1
40.0,238526531#0,1
40.0,261898534,1
40.0,263217604#0,3
40.0,268564473#0,1
40.0,288878926#0,1
40.0,303647015#0,2
40.0,30620492#1,1
40.0,314800955,1
40.0,353392316#0,4
40.0,360851262#0,5
40.0,49073272#0,1
40.0,49073274,1
40.0,49695733#2,1
40.0,49695736#0,4
40.0,506322841#1,1
40.0,506322844#0,3
40.0,506322851#0,5
40.0,506322857#0,1
40.0,51362429#0,1
40.0,593842812#2,3
40.0,593847702#3,7
40.0,593847704#0,5
40.0,593849711#0,1
40.0,593852346,2
40.0,594658762#0,4
40.0,668037874,3
40.0,910567294,1
40.0,:3086736518_1,1
40.0,:655375247_4,1
40.0,:cluster_2528018119_655375236_12,1
40.0,:cluster_5372642442_631668976_631668981_631669076_21,1
40.0,:cluster_5372642442_631668976_631668981_631669076_6,1
40.0,:cluster_623980147_623980152_3,1
60.0,-300077497#5,4
60.0,-35274074#2,1
60.0,-51362429#1,1
60.0,-593847703#3,2
60.0,1068234498#0,1
60.0,1068234499#0,2
60.0,182334379#0,2
60.0,182336887#2,1
60.0,196961215#0,1
60.0,196961378#1,1
60.0,198001764#0,2
60.0,263217604#0,5
60.0,268564473#0,2
60.0,288878926#0,2
60.0,300077497#0,3
60.0,300077497#6,1
60.0,303647015#0,1
60.0,314800955,1
60.0,353392316#0,5
60.0,360851262#0,6
60.0,48794887#0,1
60.0,49073272#0,1
60.0,49695733#0,1
60.0,49695733#2,1
60.0,49695736#0,2
60.0,506322841#1,1
60.0,506322844#0,2
60.0,506322846#0,1
60.0,506322851#0,5
60.0,51362429#0,1
60.0,593842812#2,4
60.0,593847702#3,11
60.0,593847703#0,4
60.0,593847704#0,3
60.0,593849711#0,1
60.0,593849724,1
60.0,593852346,5
60.0,594658762#0,5
60.0,668037874,3
60.0,910567294,1
60.0,:622618108_6,1
60.0,:622618144_4,1
60.0,:655375233_0,1
60.0,:655375240_1,1
60.0,:655375336_9,1
60.0,:cluster_2528018119_655375236_2,1
80.0,-300077497#5,8
80.0,-35274074#2,2
80.0,-593847703#3,2
80.0,-593849724,2
80.0,1068234498#0,2
80.0,1068234499#0,2
80.0,1068440004#1,1
80.0,182334379#0,6
80.0,196961215#0,1
80.0,196961215#2,1
80.0,196961378#1,1
80.0,198001764#0,2
80.0,238526531#0,2
80.0,263217604#0,5
80.0,268564473#0,1
80.0,288135626#0,1
80.0,288878926#0,2
80.0,300077497#6,1
80.0,303647015#0,1
80.0,30620492#1,1
80.0,35274074#0,2
80.0,353392316#0,5
80.0,360851262#0,11
80.0,49073226#2,1
80.0,49073272#0,1
80.0,49695733#2,1
80.0,49695736#0,3
80.0,506322841#1,1
80.0,506322844#0,5
80.0,506322851#0,4
80.0,51289045#1,1
80.0,51289045#3,1
80.0,51362429#0,1
80.0,593842812#2,3
80.0,593847702#3,7
80.0,593847703#0,1
80.0,593847704#0,7
80.0,593849711#2,1
80.0,593849718#0,2
80.0,593852346,10
80.0,594658762#0,3
80.0,668037874,3
80.0,910567294,1
80.0,:622618108_6,1
80.0,:622618144_4,1
80.0,:622618197_5,1
80.0,:cluster_2528018119_655375236_2,1
80.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_0,1
80.0,:cluster_5372642442_631668976_631668981_631669076_29,1
80.0,:cluster_5372642442_631668976_631668981_631669076_6,1
100.0,-300077497#5,4
100.0,-35274074#2,3
100.0,-545977624#2,1
100.0,-593847701,1
100.0,-593847703#3,7
100.0,-593849724,4
100.0,1068234498#0,2
100.0,1068234499#0,7
100.0,1068440004#1,1
100.0,182334378#0,1
100.0,182334379#0,7
100.0,196961215#2,1
100.0,198001764#0,1
100.0,263217603#0,1
100.0,263217604#0,7
100.0,288135626#0,1
100.0,288878926#0,4
100.0,288878927,1
100.0,303647015#0,2
100.0,353392316#0,4
100.0,360851262#0,16
100.0,48794887#0,1
100.0,49073272#0,1
100.0,49695733#0,1
100.0,49695733#2,1
100.0,49695736#0,6
100.0,506322841#1,1
100.0,506322844#0,3
100.0,506322851#0,5
100.0,51289045#3,1
100.0,51362429#0,1
100.0,51392936#0,2
100.0,593842812#2,1
100.0,593847702#3,1
100.0,593847703#0,3
100.0,593847704#0,9
100.0,593849711#0,1
100.0,593849718#0,1
100.0,593852346,5
100.0,594658762#0,1
100.0,668037874,3
100.0,910567294,1
100.0,:1926948273_0,1
100.0,:622618108_3,1
100.0,:622618112_2,1
100.0,:622618230_3,1
100.0,:655375240_1,1
100.0,:656132499_0,1
100.0,:cluster_2528018119_655375236_12,1
100.0,:cluster_2528018119_655375236_14,1
100.0,:cluster_623980147_623980152_3,1
120.0,-300077497#5,4
120.0,-35274074#2,1
120.0,-49073264#1,1
120.0,-51362429#1,1
120.0,-593849724,3
120.0,1068234498#0,2
120.0,1068234499#0,3
120.0,1068440004#1,1
120.0,182334378#0,7
120.0,182334379#0,2
120.0,182336887#2,1
120.0,196961215#0,1
120.0,198001764#0,1
120.0,263217604#0,9
120.0,268564473#0,2
120.0,288135628#0,2
120.0,288878926#0,5
120.0,300077497#0,1
120.0,303647015#0,1
120.0,314800955,1
