time,edge_id,vehicle_count
20.0,-300077497#5,1
20.0,-593847703#3,1
20.0,1068234498#0,1
20.0,196961215#2,1
20.0,263217604#0,1
20.0,360851262#0,1
20.0,48794887#0,1
20.0,49695733#0,1
20.0,506322844#0,1
20.0,506322848#0,1
20.0,506322851#0,1
20.0,593847701,1
20.0,593847702#3,1
20.0,593852346,1
20.0,668037874,1
40.0,-35274074#2,1
40.0,-593847703#3,1
40.0,1068234498#0,1
40.0,182334378#0,1
40.0,238526531#0,1
40.0,263217604#0,1
40.0,288878926#0,1
40.0,314800955,1
40.0,353392316#0,1
40.0,360851262#0,1
40.0,49073272#0,1
40.0,506322844#0,2
40.0,506322848#0,1
40.0,506322851#0,1
40.0,593847702#3,1
40.0,593852346,1
40.0,594658762#0,1
40.0,668037874,1
40.0,:3086736518_1,1
60.0,-300077497#5,1
60.0,-593847703#3,2
60.0,1068234498#0,1
60.0,263217604#0,4
60.0,353392316#0,1
60.0,360851262#0,2
60.0,506322844#0,1
60.0,506322848#0,2
60.0,506322851#0,2
60.0,593852346,1
60.0,668037874,2
60.0,:622618197_5,1
60.0,:622618230_1,1
60.0,:655375336_9,1
60.0,:cluster_2528018119_655375236_1,2
80.0,-35274074#2,1
80.0,-593847703#3,1
80.0,238526531#0,1
80.0,263217604#0,4
80.0,300077497#0,1
80.0,360851262#0,3
80.0,49695733#0,1
80.0,506322844#0,2
80.0,506322848#0,2
80.0,506322851#0,2
80.0,593847702#0,2
80.0,593847702#3,2
80.0,593852346,1
80.0,668037874,2
80.0,:655375238_1,1
80.0,:cluster_5372642442_631668976_631668981_631669076_7,1
80.0,E0,1
100.0,-300077497#5,1
100.0,-593847703#3,2
100.0,238526531#0,1
100.0,263217604#0,6
100.0,353392316#0,1
100.0,360851262#0,4
100.0,49695733#2,1
100.0,506322844#0,4
100.0,506322846#0,1
100.0,506322851#0,1
100.0,593847702#3,4
100.0,593852346,3
100.0,668037874,2
100.0,:3086736518_1,1
120.0,-300077497#5,1
120.0,-593847703#3,3
120.0,1068234498#0,2
120.0,263217604#0,6
120.0,288135626#0,1
120.0,353392316#0,2
120.0,360851262#0,1
120.0,506322844#0,5
120.0,506322848#0,1
120.0,506322851#0,1
120.0,593847702#3,5
120.0,593847703#0,1
120.0,593852346,1
120.0,594658762#0,4
120.0,668037874,2
120.0,:622618108_1,1
120.0,:655375239_3,1
140.0,-300077497#5,3
140.0,-300077497#8,1
140.0,-593847703#3,5
140.0,238526531#0,1
140.0,263217604#0,9
140.0,268564473#0,1
140.0,35274074#0,2
140.0,353392316#0,3
140.0,360851262#0,2
140.0,506322844#0,1
140.0,506322851#0,1
140.0,593847702#3,1
140.0,593847703#0,1
140.0,593849711#0,1
140.0,593849724,1
140.0,668037874,2
140.0,:622618230_3,1
140.0,:cluster_2528018119_655375236_2,1
140.0,:cluster_5372642442_631668976_631668981_631669076_27,1
140.0,:cluster_623980090_623980094_4,1
160.0,-300077497#5,1
160.0,-593847703#3,5
160.0,182334378#0,1
160.0,182334379#0,2
160.0,238526531#0,2
160.0,263217604#0,9
160.0,303647015#0,1
160.0,353392316#0,3
160.0,360851262#0,2
160.0,48794887#0,1
160.0,506322844#0,2
160.0,506322846#0,3
160.0,506322848#0,1
160.0,506322851#0,2
160.0,593847702#3,1
160.0,593852346,3
160.0,668037874,2
160.0,:655375233_5,2
160.0,:cluster_2038168688_655375573_5,2
160.0,E0,1
180.0,-300077497#5,1
180.0,182334378#0,2
180.0,186602412#0,1
180.0,238526531#0,2
180.0,263217604#0,12
180.0,353392316#0,4
180.0,360851262#0,3
180.0,506322844#0,2
180.0,506322846#0,1
180.0,506322846#2,1
180.0,506322851#0,2
180.0,593847702#3,2
180.0,593847703#0,1
180.0,593847704#0,2
180.0,593852346,1
180.0,668037874,2
180.0,:cluster_9383263990_9383263991_9383263992_9383263993_19,2
180.0,:cluster_9383263990_9383263991_9383263992_9383263993_3,1
200.0,-35274074#2,1
200.0,182334378#0,2
200.0,182334379#0,1
200.0,238526531#0,2
200.0,263217604#0,12
200.0,288135626#0,2
200.0,288878927,1
200.0,353392316#0,2
200.0,360851262#0,1
200.0,506322842#0,1
200.0,506322844#0,4
200.0,506322851#0,1
200.0,593847702#3,4
200.0,593849724,1
200.0,593852346,1
200.0,594658762#0,3
200.0,668037874,2
200.0,:655375336_7,1
200.0,:cluster_9383263990_9383263991_9383263992_9383263993_20,1
220.0,-300077497#5,2
220.0,-300077497#8,1
220.0,-35274074#2,1
220.0,-593847703#3,1
220.0,-E0,1
220.0,1068234498#0,1
220.0,1068440004#1,2
220.0,182334378#0,1
220.0,238526531#0,1
220.0,263217603#0,1
220.0,263217604#0,13
220.0,300077497#0,1
220.0,35274074#0,2
220.0,353392316#0,1
220.0,360851262#0,2
220.0,49073272#0,1
220.0,506322844#0,1
220.0,506322846#0,1
220.0,506322848#0,1
220.0,506322851#0,2
220.0,593847701,1
220.0,593852346,1
220.0,668037874,2
220.0,:631668926_0,1
220.0,:cluster_2038168688_655375573_13,1
220.0,:cluster_2038168688_655375573_5,1
