time,edge_id,vehicle_count
20.0,-300077497#5,1
20.0,-35274074#2,1
20.0,-593847703#3,1
20.0,-593849724,1
20.0,1068234498#0,1
20.0,196961215#2,1
20.0,263217604#0,1
20.0,353392316#0,2
20.0,360851262#0,1
20.0,48794887#0,1
20.0,506322844#0,1
20.0,506322851#0,2
20.0,593847701,1
20.0,593847702#3,1
20.0,593849711#0,1
20.0,593852346,1
40.0,-35274074#2,1
40.0,-593847703#3,2
40.0,182334378#0,1
40.0,238526531#0,1
40.0,263217604#0,1
40.0,288878926#0,1
40.0,353392316#0,4
40.0,506322844#0,1
40.0,506322848#0,1
40.0,506322851#0,2
40.0,593847702#3,1
40.0,593852346,1
40.0,594658762#0,2
40.0,:3086736518_1,1
40.0,:622618112_2,1
40.0,:622618144_4,1
40.0,:622618230_3,2
40.0,:cluster_2528018119_655375236_14,1
60.0,-300077497#5,2
60.0,-35274074#2,2
60.0,-593847703#3,3
60.0,182334378#0,1
60.0,198001764#0,1
60.0,238526531#0,2
60.0,263217604#0,3
60.0,288878926#0,1
60.0,353392316#0,3
60.0,360851262#0,1
60.0,506322844#0,1
60.0,506322846#2,1
60.0,506322848#0,1
60.0,506322851#0,2
60.0,593847702#3,1
60.0,593847703#0,1
60.0,593852346,2
60.0,594658762#0,1
60.0,:655375233_0,1
60.0,:655375336_9,1
60.0,:cluster_2528018119_655375236_2,2
80.0,-300077497#5,3
80.0,-35274074#2,1
80.0,-593847703#3,2
80.0,-593847704#2,1
80.0,1068234498#0,1
80.0,1068234499#0,1
80.0,1068440004#1,1
80.0,182334379#0,2
80.0,238526531#0,1
80.0,263217604#0,3
80.0,303647015#0,1
80.0,353392316#0,5
80.0,360851262#0,2
80.0,49073274,1
80.0,49695736#0,1
80.0,506322844#0,2
80.0,506322848#0,2
80.0,506322851#0,2
80.0,593847703#0,1
80.0,593847704#0,1
80.0,593852346,3
80.0,594658762#0,1
80.0,:3086736518_9,1
80.0,:622618112_2,1
80.0,:622618230_3,1
80.0,:655375233_4,2
100.0,-300077497#5,5
100.0,-35274074#2,1
100.0,-593847704#2,1
100.0,-593849724,1
100.0,1068234498#0,1
100.0,1068440004#1,1
100.0,182334379#0,2
100.0,238526531#0,3
100.0,263217604#0,6
100.0,30620492#1,1
100.0,35274074#0,1
100.0,353392316#0,3
100.0,360851262#0,3
100.0,49073272#0,1
100.0,506322844#0,1
100.0,506322851#0,3
100.0,593847702#0,1
100.0,593847702#3,2
100.0,593847703#0,1
100.0,593852346,2
100.0,668037874,1
100.0,:2081945236_2,1
100.0,:622618108_6,1
100.0,:622618112_4,2
100.0,:655375233_5,1
100.0,:cluster_2528018119_655375236_2,1
120.0,-300077497#5,1
120.0,-593847703#3,3
120.0,182334379#0,2
120.0,186602412#0,1
120.0,238526531#0,3
120.0,263217604#0,6
120.0,300077497#0,1
120.0,353392316#0,4
120.0,360851262#0,1
120.0,48794887#0,1
120.0,49695733#0,1
120.0,506322842#0,1
120.0,506322844#0,2
120.0,506322846#0,3
120.0,506322848#0,3
120.0,506322851#0,3
120.0,593847702#0,1
120.0,593847702#3,7
120.0,593852346,2
120.0,594658762#0,3
120.0,668037874,1
120.0,:622618144_4,1
120.0,:655375232_7,1
120.0,:655375233_0,1
120.0,:cluster_2528018119_655375236_12,2
140.0,-300077497#5,1
140.0,-35274074#2,2
140.0,-51362429#1,1
140.0,-593847703#3,6
140.0,1068234498#0,1
140.0,1068234499#0,1
140.0,182334379#0,2
140.0,186602412#0,1
140.0,263217604#0,8
140.0,268564473#0,1
140.0,288135626#0,2
140.0,314800955,1
140.0,353392316#0,2
140.0,360851262#0,2
140.0,49695733#2,1
140.0,506322841#1,1
140.0,506322844#0,4
140.0,506322846#0,1
140.0,506322851#0,2
140.0,593847701,1
140.0,593847703#0,1
140.0,593849718#0,3
140.0,593852346,4
140.0,594658762#0,3
140.0,668037874,1
140.0,910567294,1
140.0,:cluster_2038168688_655375573_5,2
160.0,-300077497#5,3
160.0,-35274074#2,1
160.0,-593847703#3,7
160.0,-593849724,1
160.0,1068234498#0,1
160.0,1068234499#0,3
160.0,186602412#0,1
160.0,196961215#0,1
160.0,196961378#1,1
160.0,198001764#0,1
160.0,238526531#0,1
160.0,263217604#0,8
160.0,288878927,1
160.0,300077497#0,2
160.0,303647015#0,1
160.0,353392316#0,3
160.0,360851262#0,3
160.0,506322842#0,1
160.0,506322844#0,4
160.0,506322848#0,1
160.0,506322851#0,2
160.0,593847702#3,1
160.0,593847703#0,1
160.0,593852346,1
160.0,594658762#0,2
160.0,668037874,1
160.0,:655375239_3,1
160.0,:655375240_1,1
160.0,:cluster_2528018119_655375236_12,1
160.0,:cluster_5372642442_631668976_631668981_631669076_6,1
160.0,:cluster_9383263990_9383263991_9383263992_9383263993_8,1
160.0,E0,1
180.0,-300077497#5,2
180.0,-35274074#2,1
180.0,-593847703#3,10
180.0,1068234498#0,1
180.0,182334378#0,2
180.0,182334379#0,1
180.0,196961215#2,1
180.0,238526531#0,1
180.0,263217604#0,12
180.0,300077497#0,1
180.0,35274074#0,3
180.0,353392316#0,4
180.0,360851262#0,4
180.0,49073274,1
180.0,506322844#0,2
180.0,506322846#0,1
180.0,506322851#0,2
180.0,593847702#3,2
180.0,593847703#0,2
180.0,593849711#0,1
180.0,593852346,1
180.0,668037874,1
180.0,:1973482489_8,1
180.0,:cluster_2038168688_655375573_2,1
180.0,:cluster_2528018119_655375236_10,1
180.0,:cluster_2528018119_655375236_23,1
200.0,-300077497#5,3
200.0,-35274074#2,1
200.0,-593849724,1
200.0,1068234498#0,1
200.0,182334378#0,1
200.0,186602412#0,2
200.0,238526531#0,3
200.0,263217604#0,13
200.0,288135626#0,1
200.0,288878926#0,1
200.0,288878927,1
200.0,300077497#0,3
200.0,35274074#0,1
200.0,353392316#0,2
200.0,360851262#0,3
200.0,506322844#0,3
200.0,506322846#0,1
200.0,506322848#0,1
200.0,506322851#0,2
200.0,593847702#0,2
200.0,593847702#3,2
200.0,593847703#0,1
200.0,593847704#0,2
200.0,593849711#0,1
200.0,593849724,1
200.0,593852346,1
200.0,594658762#0,1
200.0,668037874,1
200.0,:622618230_3,1
200.0,:622618230_5,1
200.0,:631668926_0,1
200.0,:655375247_2,1
200.0,:655375336_7,1
220.0,-300077497#5,2
220.0,-35274074#2,1
220.0,-593847703#3,3
220.0,238526531#0,2
220.0,263217604#0,14
220.0,288878926#0,1
220.0,314800955,1
220.0,35274074#0,1
220.0,353392316#0,4
