time,edge_id,vehicle_count
20.0,-35274074#2,1
20.0,-593847703#3,3
20.0,1068234498#0,1
20.0,182334378#0,1
20.0,196961215#2,1
20.0,263217604#0,2
20.0,353392316#0,2
20.0,360851262#0,2
20.0,420578931#0,1
20.0,48794887#0,1
20.0,506322844#0,1
20.0,506322851#0,1
20.0,506322857#0,1
20.0,593847701,1
20.0,593849711#0,1
20.0,593849724,1
20.0,593852346,1
20.0,:622618108_3,1
20.0,:cluster_5372642442_631668976_631668981_631669076_21,1
40.0,-300077497#5,1
40.0,-35274074#2,1
40.0,-593847703#3,4
40.0,-593849724,1
40.0,1068234499#0,1
40.0,182334378#0,2
40.0,198001764#0,1
40.0,238526531#0,1
40.0,261898534,1
40.0,263217604#0,2
40.0,268564473#0,1
40.0,288878926#0,1
40.0,303647015#0,1
40.0,353392316#0,2
40.0,360851262#0,2
40.0,49073272#0,1
40.0,49695733#0,1
40.0,49695733#2,1
40.0,49695736#0,1
40.0,506322844#0,3
40.0,506322851#0,1
40.0,506322853#0,1
40.0,593852346,4
40.0,594658762#0,2
40.0,668037874,3
40.0,910567294,1
40.0,:3086736518_1,1
40.0,:3431431576_2,1
60.0,-300077497#5,3
60.0,-593847703#3,7
60.0,1068234498#0,2
60.0,182334378#0,2
60.0,238526531#0,2
60.0,263217604#0,5
60.0,288878926#0,1
60.0,300077497#0,1
60.0,353392316#0,3
60.0,360851262#0,3
60.0,49695733#2,1
60.0,506322841#1,1
60.0,506322844#0,1
60.0,506322846#2,1
60.0,506322848#0,1
60.0,506322851#0,1
60.0,506322853#0,1
60.0,593847703#0,3
60.0,593852346,1
60.0,668037874,3
60.0,910567294,1
60.0,:3086736518_1,1
60.0,:622618108_3,1
60.0,:622618144_4,1
60.0,:622618197_5,1
60.0,:655375336_38,1
60.0,:cluster_2528018119_655375236_2,1
80.0,-300077497#5,1
80.0,-35274074#2,1
80.0,-593847703#3,12
80.0,1068234498#0,1
80.0,1068440004#1,3
80.0,182334378#0,1
