time,edge_id,vehicle_count
20.0,-300077497#5,2
20.0,-35274074#2,1
20.0,1068234498#0,1
20.0,182334379#0,1
20.0,196961215#2,1
20.0,198001764#0,2
20.0,314800955,1
20.0,353392316#0,1
20.0,360851262#0,4
20.0,48794887#0,1
20.0,49695736#0,1
20.0,506322844#0,2
20.0,506322846#2,1
20.0,506322851#0,3
20.0,51289045#3,1
20.0,593847701,1
20.0,593847702#3,1
20.0,593847704#0,2
20.0,593849711#0,1
20.0,593849724,1
20.0,593852346,2
20.0,668037874,2
20.0,:622618112_2,1
20.0,:655375239_3,1
40.0,-300077497#5,2
40.0,-35274074#2,2
40.0,-593847701,1
40.0,-593847703#3,1
40.0,182334378#0,1
40.0,182336887#2,1
40.0,238526531#0,1
40.0,263217604#0,2
40.0,268564473#0,1
40.0,288878926#0,1
40.0,303647015#0,1
40.0,314800955,1
40.0,353392316#0,1
40.0,360851262#0,4
40.0,49695733#0,1
40.0,49695733#2,1
40.0,49695736#0,2
40.0,506322841#1,1
40.0,506322844#0,2
40.0,506322851#0,4
40.0,593842812#2,1
40.0,593847702#3,5
40.0,593847704#0,2
40.0,593849711#0,1
40.0,593852346,1
40.0,594658762#0,3
40.0,668037874,3
40.0,910567294,1
40.0,:3086736518_1,1
40.0,:622618108_5,1
40.0,:cluster_5372642442_631668976_631668981_631669076_29,1
60.0,-300077497#5,5
60.0,-35274074#2,3
60.0,-51362429#1,1
60.0,-593847703#3,1
60.0,-593849724,1
60.0,1068234499#0,1
60.0,182334379#0,2
60.0,263217604#0,3
60.0,268564473#0,1
60.0,314800955,1
60.0,353392316#0,2
60.0,360851262#0,7
60.0,49073272#0,1
60.0,49073274,1
60.0,49695733#2,2
60.0,49695736#0,1
60.0,506322841#1,1
60.0,506322844#0,2
60.0,506322851#0,3
60.0,593842812#2,2
60.0,593847702#3,6
60.0,593847703#0,2
60.0,593847704#0,3
60.0,593849724,1
60.0,593852346,5
60.0,668037874,3
60.0,910567294,1
60.0,:622618108_6,1
60.0,:655375336_9,1
60.0,:cluster_2528018119_655375236_2,1
80.0,-300077497#5,7
80.0,-35274074#2,1
80.0,-51362429#1,1
80.0,-593847703#3,1
80.0,-593849724,1
80.0,1068234498#0,2
80.0,1068234499#0,1
80.0,182334379#0,3
80.0,196961215#0,1
80.0,196961378#1,1
80.0,198001764#0,1
80.0,238526531#0,2
80.0,261898534,1
80.0,263217604#0,3
80.0,288135626#0,1
80.0,360851262#0,11
80.0,48794887#0,1
80.0,49073226#2,1
80.0,49073272#0,1
80.0,49073274,1
80.0,49695736#0,2
80.0,506322841#1,1
80.0,506322844#0,5
80.0,506322846#0,1
80.0,506322851#0,3
80.0,51289045#1,1
80.0,51289045#3,1
80.0,593847702#3,1
80.0,593847703#0,1
80.0,593847704#0,2
80.0,593849718#0,3
80.0,593849724,3
80.0,593852346,1
80.0,668037874,3
80.0,910567294,1
80.0,:622618112_2,1
80.0,:622618230_3,1
80.0,:cluster_2528018119_655375236_14,2
80.0,:cluster_5372642442_631668976_631668981_631669076_6,1
100.0,-300077497#5,2
100.0,-35274074#2,2
100.0,-51362429#1,1
100.0,-593847703#3,4
100.0,-593849724,1
100.0,1068234499#0,3
100.0,182334378#0,5
100.0,182334379#0,1
100.0,182336887#2,1
100.0,196961215#2,1
100.0,198001764#0,1
100.0,263217604#0,4
100.0,288135626#0,1
100.0,288878926#0,1
100.0,303647015#0,1
100.0,353392316#0,1
100.0,360851262#0,14
100.0,48794887#0,1
100.0,49073272#0,1
100.0,49695736#0,3
100.0,506322844#0,3
100.0,506322851#0,4
100.0,593842812#2,1
100.0,593847703#0,1
100.0,593847704#0,2
100.0,593849718#0,1
100.0,593849724,5
100.0,593852346,2
100.0,668037874,3
100.0,:3086736518_1,1
100.0,:631668923_0,1
100.0,:cluster_5372642442_631668976_631668981_631669076_1,2
100.0,:cluster_5372642442_631668976_631668981_631669076_12,1
120.0,-300077497#5,5
120.0,-593847703#3,5
120.0,-593849724,1
120.0,1068234499#0,1
120.0,182334378#0,8
120.0,198001764#0,1
120.0,263217604#0,6
120.0,268564473#0,1
120.0,288878926#0,2
120.0,300077497#0,3
120.0,353392316#0,1
120.0,360851262#0,11
120.0,49073226#2,1
120.0,49695733#0,1
120.0,49695733#2,1
120.0,49695736#0,1
120.0,506322844#0,2
120.0,506322846#0,1
120.0,506322848#0,1
120.0,506322851#0,3
120.0,593842812#2,2
120.0,593847701,1
120.0,593847702#3,2
120.0,593847703#0,1
120.0,593847704#0,2
120.0,593849711#0,1
120.0,593849724,4
120.0,593852346,2
120.0,594658762#0,5
120.0,668037874,3
120.0,:622618108_3,1
120.0,:622618108_6,1
120.0,:622618112_2,1
120.0,:622618144_3,1
120.0,:622618230_3,1
120.0,:655375239_3,1
120.0,:655375247_2,1
120.0,:cluster_2528018119_655375236_2,1
140.0,-300077497#5,3
140.0,-35274074#2,1
140.0,-593847703#3,6
140.0,-593849724,1
140.0,-E0,1
140.0,1068234499#0,1
140.0,1068440004#1,2
140.0,182334379#0,2
140.0,198001764#0,1
140.0,263217603#0,1
140.0,263217604#0,8
140.0,268564473#0,1
140.0,288878926#0,3
140.0,35274074#0,1
140.0,353392316#0,2
140.0,360851262#0,9
140.0,49073272#0,1
140.0,49695733#2,2
140.0,49695736#0,2
140.0,506322841#1,1
140.0,506322844#0,2
140.0,506322846#2,1
140.0,506322851#0,3
140.0,593842812#2,3
140.0,593847701,1
140.0,593847702#3,7
140.0,593847704#0,2
140.0,593849711#0,1
140.0,593849724,1
140.0,593852346,1
140.0,594658762#0,7
140.0,668037874,3
140.0,910567294,1
140.0,:655375239_3,1
140.0,:cluster_2528018119_655375236_12,2
140.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_14,2
140.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_25,1
140.0,:cluster_623980090_623980094_4,1
160.0,-300077497#5,3
160.0,-35274074#2,1
160.0,-51362429#1,1
160.0,-593847703#3,9
160.0,-593849724,1
160.0,1068234498#0,2
160.0,1068440004#1,2
160.0,182334378#0,2
160.0,182334379#0,2
160.0,182336887#0,1
